Time,Cash
21:10:59,10.000582572442555
21:11:04,10.001050382149437
21:11:07,10.001906367186129
21:11:11,10.002657242326874
21:11:15,10.001449495958008
21:11:19,10.003512217549208
21:11:24,10.006968324498274
21:11:28,10.009376797270166
21:11:32,10.012425762762232
21:11:37,10.016535687833533
21:11:41,10.020647299956954
21:11:45,10.02481312552312
21:11:49,10.030820193601953
21:11:53,10.031880928009159
21:11:58,10.034340596783393
21:12:02,10.03644315019181
21:12:06,10.036810156005956
21:12:10,10.039271033353963
21:12:14,10.041732514072685
21:12:18,10.044836500764712
21:12:23,10.047299346053698
21:12:26,10.049762795195909
21:12:30,10.051667370844841
21:12:34,10.056562707870388
21:12:39,10.059668208902742
21:12:43,10.060676714459222
21:12:48,10.0620329885725
21:12:52,10.065192910756997
21:12:56,10.069799348475359
21:13:01,10.07500971401145
21:13:05,10.07460568198671
21:13:09,10.07757835270294
21:13:14,10.079581164342146
21:13:18,10.08081610888166
21:13:23,10.080772686817753
21:13:27,10.082092323840005
21:13:31,10.082968248425423
21:13:35,10.083844249110507
21:13:40,10.08587259474308
21:13:44,10.090302714661991
21:13:48,10.093464768207559
21:13:53,10.09297716314999
21:13:57,10.09676460305381
21:14:01,10.100489923467372
21:14:06,10.102415965275284
21:14:10,10.105433228616986
21:14:15,10.106597329895491
21:14:20,10.107306075004262
21:14:24,10.105144264376587
21:14:28,10.106709519474833
21:14:32,10.107513493344252
21:14:37,10.109027359075876
21:14:41,10.109502974183378
21:14:45,10.111854472530014
21:14:49,10.113199133403427
21:14:54,10.115837494721143
21:14:58,10.11696023978564
21:15:03,10.1190801049656
21:15:07,10.122611688272217
21:15:11,10.12588972014533
21:15:15,10.128765301200195
21:15:19,10.130760204475239
21:15:24,10.133669039056622
21:15:29,10.13478314042922
21:15:33,10.134484575745386
21:15:38,10.13604497922108
21:15:42,10.137605622951616
21:15:46,10.139166506973991
21:15:50,10.142885875377678
21:15:55,10.1463832170197
21:15:59,10.150009098284716
21:16:03,10.153636275283855
21:16:08,10.158872918342045
21:16:12,10.161631091768708
21:16:16,10.161726381456438
21:16:20,10.165380594198268
21:16:25,10.168920942323297
21:16:29,10.175055927655967
21:16:33,10.179314998595844
21:16:38,10.180116017286824
21:16:42,10.178184849383467
21:16:46,10.179102707190104
21:16:50,10.180480173052823
21:16:54,10.182348469669341
21:16:59,10.186012250590082
21:17:03,10.190543143641362
21:17:07,10.192691741701523
21:17:11,10.197321877378462
21:17:16,10.20160096943079
21:17:20,10.207295184298252
21:17:24,10.210241851150393
21:17:28,10.212042955707345
21:17:33,10.215923477514673
21:17:37,10.22028804350448
21:17:42,10.223259912983178
21:17:46,10.226232646626189
21:17:50,10.229614083380435
21:17:55,10.23383415957796
21:17:59,10.232558636126127
21:18:03,10.23063950303856
21:18:08,10.22836645877135
21:18:12,10.229160973434892
21:18:16,10.231940617584977
21:18:20,10.231073057603913
21:18:24,10.230570295871022
21:18:29,10.233480735313114
21:18:33,10.232623773612818
21:18:37,10.233892033490077
21:18:41,10.235654359154378
21:18:46,10.236139141794737
21:18:50,10.236129686901505
