Discrepancy,Path,PPU
-0.013925841010150819,"['BTC/USDT', 'BTC/USD']","[11680.73, 11681.98]"
-0.015635385638674393,"['BTC/BUSD', 'BTC/USD']","[11682.73, 11681.98]"
-0.01594323318298585,"['BTC/USDT', 'BTC/BUSD']","[11680.73, 11679.62]"
-0.017507173268313636,"['BTC/USD', 'BTC/BUSD']","[11682.56, 11679.62]"
-0.019327669972911465,"['BTC/USD', 'BTC/USDT']","[11682.56, 11677.49]"
-0.019472902662199587,"['BTC/BUSD', 'BTC/USDT']","[11682.73, 11677.49]"
-0.021769654632958435,"['ETH/USDT', 'ETH/USD']","[397.91, 397.64]"
-0.029295586664826345,"['ETH/USD', 'ETH/USDT']","[397.97, 397.4]"
-0.03398931277742534,"['BAT/USDT', 'BAT/USD']","[0.3154, 0.3148]"
-0.03576041789427897,"['ALGO/USD', 'ALGO/BUSD']","[0.577, 0.5758]"
-0.03654588690287319,"['OMG/BUSD', 'OMG/USD']","[3.1505, 3.1437]"
-0.03747923090247873,"['ALGO/BUSD', 'ALGO/USD']","[0.5773, 0.576]"
-0.0389444539086341,"['VET/USDT', 'VET/USD']","[0.018344, 0.0183]"
-0.04978533536585239,"['BAT/USD', 'BAT/USDT']","[0.3157, 0.3146]"
-0.054265521203376466,"['OMG/USD', 'OMG/BUSD']","[3.1528, 3.1404]"
-0.08011397690217237,"['VET/USD', 'VET/USDT']","[0.0184, 0.01828]"
